config,fah_target,threshold,val_sens,test_fah,test_sens,test_warning_time
baseline,0.5,0.842,0.25,1.903,0.00,0.0
baseline,1.0,0.465,0.25,2.422,0.33,240.0
ema_0.2,0.5,0.356,0.25,2.076,0.00,0.0
ema_0.2,1.0,0.257,0.25,2.769,0.00,0.0
ema_0.3,0.5,0.406,0.25,2.076,0.00,0.0
ema_0.3,1.0,0.287,0.25,2.769,0.00,0.0
ma_6,0.5,0.376,0.25,2.249,0.00,0.0
ma_6,1.0,0.248,0.25,2.769,0.00,0.0
persist_3,0.5,0.842,0.25,1.903,0.00,0.0
persist_3,1.0,0.465,0.25,2.422,0.33,240.0
persist_5,0.5,0.842,0.25,1.903,0.00,0.0
persist_5,1.0,0.465,0.25,2.422,0.33,240.0
hysteresis,0.5,0.842,0.25,1.903,0.00,0.0
hysteresis,1.0,0.465,0.25,2.422,0.33,240.0
ema+persist,0.5,0.356,0.25,2.076,0.00,0.0
ema+persist,1.0,0.257,0.25,2.769,0.00,0.0
full_combo,0.5,0.356,0.25,2.076,0.00,0.0
full_combo,1.0,0.257,0.25,2.769,0.00,0.0
