metric,value
n_folds,24
val_auroc_mean,0.8139
val_auroc_std,0.0129
test_auroc_mean,0.6017
test_auroc_std,0.1958
val_auprc_mean,0.3543
val_auprc_std,0.0661
test_auprc_mean,0.1162
test_auprc_std,0.1564
fah_0.1_sensitivity_mean,0.4375
fah_0.1_sensitivity_std,0.3301
fah_0.1_achieved_fah_mean,0.0000
fah_0.2_sensitivity_mean,0.4375
fah_0.2_sensitivity_std,0.3301
fah_0.2_achieved_fah_mean,0.0341
fah_0.5_sensitivity_mean,0.4667
fah_0.5_sensitivity_std,0.3062
fah_0.5_achieved_fah_mean,0.2877
fah_1.0_sensitivity_mean,0.5143
fah_1.0_sensitivity_std,0.2804
fah_1.0_achieved_fah_mean,0.6505
