test_subject,val_auroc,test_auroc,val_auprc,test_auprc
chb01,0.8305,0.5466,0.3781,0.1113
chb02,0.8245,0.7990,0.3785,0.0114
chb03,0.8187,0.4780,0.3622,0.0688
chb04,0.8270,0.4326,0.3845,0.0048
chb05,0.8008,0.5585,0.3400,0.0375
chb06,0.8241,0.5000,0.3733,0.0000
chb07,0.8139,0.7493,0.3778,0.0193
chb08,0.8092,0.3392,0.3560,0.0029
chb09,0.8193,0.4877,0.3736,0.0210
chb10,0.8020,0.6197,0.3591,0.1106
chb11,0.7993,0.6856,0.3677,0.0056
chb12,0.8366,0.3753,0.3972,0.2388
chb13,0.7996,0.3651,0.3371,0.2275
chb14,0.8214,0.4937,0.3949,0.0740
chb15,0.8144,0.6110,0.3636,0.1029
chb16,0.8151,0.7084,0.3553,0.1500
chb17,0.8105,0.8990,0.3571,0.1485
chb18,0.8369,0.7009,0.4315,0.3672
chb19,0.8306,0.5801,0.3906,0.3757
chb20,0.8150,0.1346,0.3919,0.0529
chb21,0.8014,0.8239,0.3554,0.0329
chb22,0.8231,0.6527,0.3910,0.0271
chb23,0.8290,0.7961,0.3579,0.0556
chb24,0.7889,0.3047,0.0440,0.3422
